date_time,h_r,p_f,p_r,f_p,f_r,c_p,c_r,t_f
2021-08-12T19:14:52Z,0.016876,0.663512,0.479376,2.164142,43.425561,223.661444,0.632997,21.597696
2021-08-12T19:14:52Z,0.017014,0.677808,0.491265,2.164142,44.633556,306.39644,0.634702,21.593381
2021-08-12T19:14:53Z,0.017086,0.68015,0.494948,2.164142,44.633556,324.359091,0.634424,21.554547
2021-08-12T19:14:53Z,0.017222,0.686854,0.497016,2.192687,44.633556,380.323035,0.63239,21.528657
2021-08-12T19:14:54Z,0.017293,0.689923,0.501927,2.192687,44.633556,394.829883,0.631779,21.498453
2021-08-12T19:14:54Z,0.01743,0.693315,0.496951,2.231735,44.633556,395.958821,0.628302,21.489823
2021-08-12T19:14:54Z,0.017501,0.693315,0.50813,2.231735,44.633556,395.958821,0.627902,21.446674
2021-08-12T19:14:55Z,0.017571,0.696465,0.509099,2.231735,44.633556,395.958821,0.672526,21.4251
2021-08-12T19:14:55Z,0.01771,0.699938,0.506514,2.231735,44.633556,395.958821,0.6921,21.44236
2021-08-12T19:14:56Z,0.017857,0.699857,0.515819,2.251221,43.811179,393.71758,0.697195,21.377636
2021-08-12T19:14:56Z,0.01799,0.701069,0.5206,2.251221,43.690088,391.221315,0.724078,21.343117
2021-08-12T19:14:56Z,0.018124,0.703169,0.525769,2.251221,44.054653,384.008066,0.746353,21.295653
2021-08-12T19:14:57Z,0.018194,0.704219,0.525188,2.251221,44.192835,380.069222,0.788151,21.269764
2021-08-12T19:14:57Z,0.018261,0.702684,0.520406,2.251221,44.368934,377.794713,0.833162,21.252504
2021-08-12T19:14:57Z,0.018331,0.70333,0.530615,2.258998,44.502327,375.261632,0.863803,21.252504
2021-08-12T19:14:57Z,0.018401,0.704946,0.534686,2.258998,44.414446,375.261632,0.894883,21.217985
2021-08-12T19:14:58Z,0.018471,0.706076,0.537012,2.258998,44.680073,375.261632,0.894883,21.183466
2021-08-12T19:14:58Z,0.018611,0.704219,0.534492,2.258998,44.965044,375.261632,0.894883,21.170521
2021-08-12T19:14:59Z,0.018747,0.705188,0.5416,2.251844,44.626416999999996,375.261632,0.960099,21.166206
2021-08-12T19:14:59Z,0.018818,0.704784,0.543086,2.254824,44.486501,370.027993,1.033318,21.131687
2021-08-12T19:14:59Z,0.018886,0.705026,0.542117,2.258603,44.555302,368.511398,1.063047,21.088538
2021-08-12T19:14:59Z,0.018956,0.70648,0.545671,2.262083,44.646762,366.611186,1.094609,21.066964
2021-08-12T19:15:00Z,0.019026,0.70438,0.550064,2.26073,44.603732,366.230131,1.094609,21.04539
2021-08-12T19:15:00Z,0.019163,0.703411,0.550194,2.265145,44.666094,366.230131,1.131691,21.023815
2021-08-12T19:15:00Z,0.019233,0.703653,0.559821,2.265145,44.688806,364.192418,1.146637,20.989296
2021-08-12T19:15:01Z,0.019303,0.703653,0.547997,2.265145,44.711519,363.43377,1.161583,20.946147
2021-08-12T19:15:01Z,0.019372,0.704542,0.560467,2.201773,44.951793,358.493342,1.275159,20.946147
2021-08-12T19:15:01Z,0.019443,0.703734,0.561178,2.246357,44.896055,359.522632,1.256251,20.911628
2021-08-12T19:15:01Z,0.019511,0.702119,0.56163,2.192596,44.972479,357.951256,1.326456,20.907313
2021-08-12T19:15:02Z,0.019597,0.70115,0.559821,2.213939,45.299167,357.951256,1.407363,20.898683
2021-08-12T19:15:02Z,0.01973,0.702523,0.568221,2.212185,45.483228,357.951256,1.455741,20.872794
2021-08-12T19:15:03Z,0.019875,0.701715,0.572163,2.214243,45.513744,354.68913,1.479824,20.83396
2021-08-12T19:15:03Z,0.02,0.702038,0.566929,2.237253,45.599854,346.062064,1.536516,20.777866
2021-08-12T19:15:04Z,0.02007,0.700503,0.574424,2.236222,45.645894,345.411985,1.550091,20.777866
2021-08-12T19:15:04Z,0.020205999999999998,0.70018,0.563181,2.242184,45.710747,337.617334,1.604135,20.747662
